,date,known variable,unknown / resultant variable / return if LONG,What to DO (Buy or Sell or HOLD),,
,Dec-18-2017,0.72%,0.19%,,,
,Dec-19-2017,0.19%,-0.39%,,,
,Dec-20-2017,-0.39%,-0.44%,,,
,Dec-21-2017,-0.44%,-0.11%,,,
,Dec-22-2017,-0.11%,0.04%,,,
,Dec-26-2017,0.04%,0.01%,,,
,Dec-27-2017,0.01%,0.03%,,,
,Dec-28-2017,0.03%,-0.20%,,,
,Dec-29-2017,-0.20%,-0.72%,,,
,Jan-2-2018,-0.72%,1.27%,,,
,Jan-3-2018,1.27%,0.90%,,,
,Jan-4-2018,0.90%,-0.17%,,,
,Jan-5-2018,-0.17%,0.52%,,,
,Jan-8-2018,0.52%,0.37%,,,
,Jan-9-2018,0.37%,-0.17%,,,
,Jan-10-2018,-0.17%,0.23%,,,
,Jan-11-2018,0.23%,0.50%,,,
,Jan-12-2018,0.50%,0.88%,,,
,Jan-16-2018,0.88%,-0.93%,,,
,Jan-17-2018,-0.93%,0.61%,,,
,Jan-18-2018,0.61%,0.16%,,,
,Jan-19-2018,0.16%,0.01%,,,
,Jan-22-2018,0.01%,1.12%,,,
,Jan-23-2018,1.12%,0.50%,,,
,Jan-24-2018,0.50%,-0.79%,,,
,Jan-25-2018,-0.79%,-0.71%,,,
,Jan-26-2018,-0.71%,0.95%,,,
,Jan-29-2018,0.95%,-0.26%,,,
,Jan-30-2018,-0.26%,0.08%,,,
,Jan-31-2018,0.08%,-0.21%,,,
,Feb-1-2018,-0.21%,-0.09%,,,
,Feb-2-2018,-0.09%,-1.66%,,,
,Feb-5-2018,-1.66%,-3.07%,,,
,Feb-6-2018,-3.07%,4.05%,,,
,Feb-7-2018,4.05%,-0.98%,,,
,Feb-8-2018,-0.98%,-4.49%,,,
,Feb-9-2018,-4.49%,0.29%,,,
,Feb-12-2018,0.29%,0.82%,,,
,Feb-13-2018,0.82%,1.06%,,,
,Feb-14-2018,1.06%,2.44%,,,
,Feb-15-2018,2.44%,0.95%,,,
,Feb-16-2018,0.95%,-0.11%,,,
,Feb-20-2018,-0.11%,0.54%,,,
,Feb-21-2018,0.54%,-0.79%,,,
,Feb-22-2018,-0.79%,-0.42%,,,
,Feb-23-2018,-0.42%,1.24%,,,
,Feb-26-2018,1.24%,0.86%,,,
,Feb-27-2018,0.86%,-1.29%,,,
,Feb-28-2018,-1.29%,-1.24%,,,
,Mar-1-2018,-1.24%,-1.64%,,,
,Mar-2-2018,-1.64%,2.07%,,,
,Mar-5-2018,2.07%,1.52%,,,
,Mar-6-2018,1.52%,-0.06%,,,
,Mar-7-2018,-0.06%,0.99%,,,
,Mar-8-2018,0.99%,0.18%,,,
,Mar-9-2018,0.18%,1.17%,,,
,Mar-12-2018,1.17%,0.14%,,,
,Mar-13-2018,0.14%,-1.72%,,,
,Mar-14-2018,-1.72%,-0.52%,,,
,Mar-15-2018,-0.52%,-0.24%,,,
,Mar-16-2018,-0.24%,-0.40%,,,
,Mar-19-2018,-0.40%,-1.20%,,,
,Mar-20-2018,-1.20%,0.33%,,,
,Mar-21-2018,0.33%,-0.23%,,,
,Mar-22-2018,-0.23%,-1.24%,,,
,Mar-23-2018,-1.24%,-2.57%,,,
,Mar-26-2018,-2.57%,1.69%,,,
,Mar-27-2018,1.69%,-3.99%,,,
,Mar-28-2018,-3.99%,-0.59%,,,
,Mar-29-2018,-0.59%,1.28%,,,
,Apr-2-2018,1.28%,-2.11%,,,
,Apr-3-2018,-2.11%,0.22%,,,
,Apr-4-2018,0.22%,3.55%,,,
,Apr-5-2018,3.55%,-0.45%,,,
,Apr-6-2018,-0.45%,-1.42%,,,
,Apr-9-2018,-1.42%,-0.22%,,,
,Apr-10-2018,-0.22%,0.64%,,,
,Apr-11-2018,0.64%,0.05%,,,
,Apr-12-2018,0.05%,0.50%,,,
,Apr-13-2018,0.50%,-0.99%,,,
,Apr-16-2018,-0.99%,0.06%,,,
,Apr-17-2018,0.06%,1.11%,,,
,Apr-18-2018,1.11%,0.16%,,,
,Apr-19-2018,0.16%,-0.42%,,,
,Apr-20-2018,-0.42%,-1.28%,,,
,Apr-23-2018,-1.28%,-0.72%,,,
,Apr-24-2018,-0.72%,-2.52%,,,
,Apr-25-2018,-2.52%,-0.04%,,,
,Apr-26-2018,-0.04%,0.78%,,,
,Apr-27-2018,0.78%,-1.36%,,,
,Apr-30-2018,-1.36%,-0.98%,,,
,May-1-2018,-0.98%,1.34%,,,
,May-2-2018,1.34%,-0.79%,,,
,May-3-2018,-0.79%,0.43%,,,
,May-4-2018,0.43%,2.33%,,,
,May-7-2018,2.33%,0.33%,,,
,May-8-2018,0.33%,0.10%,,,
,May-9-2018,0.10%,0.91%,,,
,May-10-2018,0.91%,0.71%,,,
,May-11-2018,0.71%,0.07%,,,
,May-14-2018,0.07%,-0.06%,,,
,May-15-2018,-0.06%,-0.30%,,,
,May-16-2018,-0.30%,0.54%,,,
,May-17-2018,0.54%,-0.06%,,,
,May-18-2018,-0.06%,-0.16%,,,
,May-21-2018,-0.16%,-0.18%,,,
,May-22-2018,-0.18%,-0.57%,,,
,May-23-2018,-0.57%,1.62%,,,
,May-24-2018,1.62%,-0.04%,,,
,May-25-2018,-0.04%,0.12%,,,
,May-29-2018,0.12%,0.03%,,,
,May-30-2018,0.03%,0.32%,,,
,May-31-2018,0.32%,-0.06%,,,
,Jun-1-2018,-0.06%,1.09%,,,
