,date,known variable,unknown / resultant variable / return if LONG,What to DO (Buy or Sell or HOLD)
,Jul-6-2018,0.59%,1.30%,Sell
,Jul-9-2018,1.30%,0.39%,Buy
,Jul-10-2018,0.39%,-0.03%,HOLD
,Jul-11-2018,-0.03%,0.26%,HOLD
,Jul-12-2018,0.26%,1.22%,HOLD
,Jul-13-2018,1.22%,0.10%,Buy
,Jul-16-2018,0.10%,-0.26%,HOLD
,Jul-17-2018,-0.26%,1.69%,HOLD
,Jul-18-2018,1.69%,-0.21%,HOLD
,Jul-19-2018,-0.21%,-0.14%,HOLD
,Jul-20-2018,-0.14%,-0.32%,HOLD
,Jul-23-2018,-0.32%,0.60%,HOLD
,Jul-24-2018,0.60%,-0.60%,HOLD
,Jul-25-2018,-0.60%,1.36%,HOLD
,Jul-26-2018,1.36%,-0.11%,HOLD
,Jul-27-2018,-0.11%,-2.24%,HOLD
,Jul-30-2018,-2.24%,-1.41%,HOLD
,Jul-31-2018,-1.41%,0.22%,Sell
,Aug-1-2018,0.22%,0.14%,HOLD
,Aug-2-2018,0.14%,2.08%,Sell
,Aug-3-2018,2.08%,0.16%,HOLD
,Aug-6-2018,0.16%,0.67%,Buy
,Aug-7-2018,0.67%,0.07%,Buy
,Aug-8-2018,0.07%,0.20%,HOLD
,Aug-9-2018,0.20%,-0.05%,HOLD
,Aug-10-2018,-0.05%,-0.10%,HOLD
,Aug-13-2018,-0.10%,-0.26%,HOLD
,Aug-14-2018,-0.26%,0.25%,HOLD
,Aug-15-2018,0.25%,-0.44%,HOLD
,Aug-16-2018,-0.44%,-0.42%,HOLD
,Aug-17-2018,-0.42%,0.30%,Sell
,Aug-20-2018,0.30%,-0.32%,HOLD
,Aug-21-2018,-0.32%,0.05%,HOLD
,Aug-22-2018,0.05%,0.60%,Sell
,Aug-23-2018,0.60%,0.00%,Buy
,Aug-24-2018,0.00%,0.60%,HOLD
,Aug-27-2018,0.60%,0.47%,Buy
,Aug-28-2018,0.47%,-0.11%,HOLD
,Aug-29-2018,-0.11%,0.99%,HOLD
,Aug-30-2018,0.99%,-0.04%,HOLD
,Aug-31-2018,-0.04%,0.23%,HOLD
,Sep-4-2018,0.23%,-0.12%,HOLD
,Sep-5-2018,-0.12%,-1.13%,HOLD
,Sep-6-2018,-1.13%,-0.94%,HOLD
,Sep-7-2018,-0.94%,0.40%,HOLD
,Sep-10-2018,0.40%,-0.22%,Sell
,Sep-11-2018,-0.22%,1.19%,Sell
,Sep-12-2018,1.19%,-0.15%,HOLD
,Sep-13-2018,-0.15%,0.43%,Buy
,Sep-14-2018,0.43%,-0.36%,HOLD
,Sep-18-2018,-0.36%,0.72%,Buy
,Sep-19-2018,0.72%,-0.09%,HOLD
,Sep-20-2018,-0.09%,0.38%,HOLD
,Sep-21-2018,0.38%,-0.86%,HOLD
,Sep-24-2018,-0.86%,0.97%,HOLD
,Sep-25-2018,0.97%,0.19%,HOLD
,Sep-26-2018,0.19%,-0.02%,HOLD
,Sep-27-2018,-0.02%,0.42%,HOLD
,Sep-28-2018,0.42%,0.29%,HOLD
,Oct-1-2018,0.29%,-0.36%,HOLD
,Oct-2-2018,-0.36%,-0.11%,HOLD
,Oct-3-2018,-0.11%,-0.28%,HOLD
,Oct-4-2018,-0.28%,-1.50%,HOLD
,Oct-5-2018,-1.50%,-1.21%,Sell
,Oct-8-2018,-1.21%,-0.14%,Sell
,Oct-9-2018,-0.14%,0.22%,HOLD
,Oct-10-2018,0.22%,-3.83%,HOLD
